,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
45548,Caucasian,18-29,Felony,Other,None,None,None,no
45549,African American,18-29,Felony,Other,None,None,None,yes
45550,Caucasian,Older than 60,Felony,Other,None,None,None,no
45551,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,yes
45552,Caucasian,40-49,Felony,Bail Jumping,1-5,None,1-5,yes
45553,Other,18-29,Misdemeanor,Other,None,None,None,no
45554,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
45555,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,no
45556,Caucasian,30-39,Misdemeanor,Battery,None,1-5,None,no
45557,Other,30-39,Criminal Traffic,Other,None,None,None,no
45558,African American,30-39,Felony,Other,1-5,1-5,1-5,no
45559,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45560,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
45561,African American,18-29,Felony,Other,1-5,1-5,1-5,yes
45562,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,yes
45563,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45564,Caucasian,40-49,Misdemeanor,Other,1-5,6-10,1-5,yes
45566,Caucasian,40-49,Felony,Other,None,None,None,no
45567,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,yes
45568,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
45569,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
45570,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
45571,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45572,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
45573,Caucasian,40-49,Misdemeanor,Battery,None,1-5,None,no
45574,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
45575,African American,18-29,Felony,Other,1-5,1-5,1-5,no
45576,Other,18-29,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
45577,African American,18-29,Misdemeanor,Battery,None,None,None,no
45578,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45579,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45580,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45581,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,1-5,None,no
45582,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,1-5,yes
45583,Caucasian,18-29,Felony,Other,None,1-5,None,no
45584,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
45585,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
45586,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45587,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
45588,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,yes
45589,Caucasian,18-29,Felony,Other,None,None,None,no
45590,African American,Older than 60,Misdemeanor,Resisting Officer,1-5,1-5,None,no
45591,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
45592,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
45593,Other,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,yes
45594,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45595,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45596,Caucasian,18-29,Felony,Burglary,None,1-5,None,yes
45598,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
45599,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
45600,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
45601,African American,40-49,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45603,Other,30-39,Felony,Other,1-5,6-10,None,yes
45604,Caucasian,18-29,Felony,Other,1-5,None,None,no
45605,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
45606,Other,18-29,Misdemeanor,Other,None,None,None,no
45607,Caucasian,18-29,Criminal Traffic,Other,1-5,None,None,yes
45608,Caucasian,30-39,Felony,Other,None,None,None,no
45609,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45610,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
45611,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
45612,African American,30-39,Criminal Traffic,Other,None,None,None,yes
45613,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
45614,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
45616,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45617,Caucasian,40-49,Felony,Other,None,1-5,None,no
45618,African American,18-29,Felony,Other,None,None,None,no
45619,Other,18-29,Misdemeanor,Operating While Intoxicated,None,None,None,yes
45620,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
45621,Other,18-29,Criminal Traffic,Other,None,None,None,yes
45622,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
45623,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45624,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,None,no
45625,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,no
45627,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
45628,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
45629,Caucasian,18-29,Felony,Other,1-5,None,None,yes
45630,Caucasian,30-39,Felony,Other,1-5,None,1-5,yes
45631,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
45632,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45633,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
45634,Caucasian,30-39,Misdemeanor,Other,None,None,None,yes
45635,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,yes
45636,African American,Younger than 18,Misdemeanor,Other,1-5,1-5,None,yes
45637,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45638,Other,Younger than 18,Misdemeanor,Battery,None,None,None,yes
45639,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45640,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
45641,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45642,Caucasian,30-39,Felony,Other,None,None,None,no
45643,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45644,African American,40-49,Misdemeanor,OAR/OAS,1-5,None,1-5,no
45645,Caucasian,18-29,Felony,Other,None,None,None,no
45646,Other,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
45647,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
45648,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
45649,African American,30-39,Felony,Other,1-5,None,1-5,yes
45650,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
45651,African American,30-39,Felony,Other,None,None,None,no
45652,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,1-5,no
45653,Other,18-29,Criminal Traffic,Other,None,None,None,no
45654,African American,30-39,Criminal Traffic,OAR/OAS,None,1-5,6-10,no
45655,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,1-5,None,yes
45656,African American,30-39,Misdemeanor,Other,1-5,1-5,1-5,no
45657,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
45658,Caucasian,18-29,Misdemeanor,Battery,None,None,1-5,no
45659,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,6-10,1-5,no
45660,African American,18-29,Felony,Other,None,1-5,None,no
45661,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45662,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
45663,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,no
45664,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
45665,Caucasian,30-39,Felony,Bail Jumping,6-10,1-5,1-5,no
45666,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
45667,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45668,African American,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45669,African American,18-29,Felony,Other,1-5,None,None,yes
45670,Other,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,no
45671,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,6-10,1-5,no
45672,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45673,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,yes
45674,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
45675,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
45676,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45678,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45679,African American,30-39,Felony,Other,1-5,None,None,no
45680,Caucasian,Younger than 18,Felony,Other,1-5,1-5,None,no
45681,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
45682,Other,30-39,Misdemeanor,Other,None,None,None,no
45683,Caucasian,50-59,Felony,Other,None,1-5,1-5,no
45684,African American,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
45685,African American,18-29,Felony,Other,None,1-5,None,no
45687,Other,18-29,Criminal Traffic,Other,None,None,1-5,no
45688,African American,40-49,Felony,Burglary,1-5,1-5,None,no
45689,Caucasian,40-49,Felony,Other,1-5,None,None,no
45690,African American,18-29,Misdemeanor,Other,1-5,6-10,None,yes
45691,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
45692,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
45693,Other,30-39,Misdemeanor,Resisting Officer,6-10,None,1-5,no
45694,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
45695,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
45696,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,6-10,6-10,None,no
45698,Other,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45699,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,no
45700,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45701,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,no
45702,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,6-10,1-5,1-5,no
45703,Other,30-39,Felony,Other,1-5,1-5,1-5,yes
45704,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
45705,African American,Younger than 18,Felony,Battery,1-5,1-5,None,yes
45706,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45707,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
45709,African American,18-29,Misdemeanor,Other,1-5,1-5,None,no
45710,African American,18-29,Felony,Bail Jumping,1-5,6-10,1-5,yes
45711,Caucasian,50-59,Felony,Other,None,None,None,no
45712,Caucasian,30-39,Felony,Other,None,None,1-5,yes
45714,African American,18-29,Misdemeanor,Battery,1-5,1-5,1-5,yes
45716,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45717,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,no
45718,Other,Younger than 18,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
45719,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
45720,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45721,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45722,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45723,Other,Younger than 18,Misdemeanor,Other,1-5,1-5,None,yes
45724,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45725,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
45727,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,no
45728,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,no
45729,African American,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45730,Other,30-39,Criminal Traffic,Other,None,None,None,no
45731,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
45732,Other,Older than 60,Felony,Other,None,None,None,no
45733,Caucasian,18-29,Felony,Battery,1-5,More than 10,None,no
45734,Caucasian,18-29,Felony,Other,None,None,None,no
45735,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
45736,African American,18-29,Misdemeanor,Other,1-5,6-10,None,no
45737,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45738,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,yes
45739,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,yes
45740,African American,40-49,Misdemeanor,Bail Jumping,1-5,1-5,None,yes
45741,Caucasian,Younger than 18,Criminal Traffic,Other,None,None,None,no
45742,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
45743,Caucasian,18-29,Felony,Other,1-5,6-10,1-5,yes
45744,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,1-5,no
45745,African American,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,no
45746,Other,40-49,Felony,Other,1-5,1-5,None,no
45747,African American,18-29,Misdemeanor,Other,None,1-5,1-5,yes
45748,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
45749,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
45750,Caucasian,30-39,Felony,Other,None,None,None,no
45751,Caucasian,50-59,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
45752,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,yes
45753,African American,30-39,Felony,Other,None,1-5,None,no
45754,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45755,Other,30-39,Felony,Other,1-5,1-5,1-5,no
45756,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
45757,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,yes
45758,Caucasian,30-39,Felony,Bail Jumping,6-10,More than 10,1-5,no
45759,Caucasian,18-29,Felony,Other,1-5,None,None,yes
45760,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45761,African American,30-39,Felony,Other,None,1-5,None,no
45762,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45763,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45765,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,no
45766,African American,Younger than 18,Misdemeanor,Battery,1-5,None,None,no
45767,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45768,Caucasian,40-49,Misdemeanor,Other,None,None,None,yes
45769,African American,30-39,Felony,Other,6-10,6-10,1-5,yes
45771,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
45772,African American,18-29,Misdemeanor,Battery,None,None,None,yes
45773,Other,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45774,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45775,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
45776,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
45777,African American,50-59,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45778,African American,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
45779,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
45780,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45781,Caucasian,30-39,Misdemeanor,Battery,None,1-5,None,no
45782,African American,40-49,Felony,Bail Jumping,1-5,1-5,None,yes
45783,African American,Older than 60,Misdemeanor,Other,None,None,None,no
45784,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
45785,Other,18-29,Misdemeanor,Other,None,1-5,None,yes
45787,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
45788,African American,18-29,Felony,Bail Jumping,1-5,None,None,yes
45789,Caucasian,18-29,Felony,Other,None,None,1-5,yes
45790,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,no
45791,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
45792,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45793,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
45794,African American,50-59,Misdemeanor,Other,None,None,None,no
45795,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
45796,Caucasian,18-29,Misdemeanor,Other,1-5,None,1-5,yes
45797,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
45798,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45799,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45801,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45802,African American,18-29,Misdemeanor,Other,None,1-5,None,no
45803,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
45804,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
45805,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45807,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45808,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,no
45809,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,More than 10,None,None,no
45810,African American,40-49,Felony,Other,1-5,More than 10,6-10,no
45811,African American,30-39,Misdemeanor,Resisting Officer,None,None,None,no
45812,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45813,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,None,None,no
45814,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
45815,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,None,None,no
45816,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
45817,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,None,no
45818,Other,30-39,Misdemeanor,Battery,None,None,1-5,no
45819,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
45820,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,no
45821,Other,18-29,Criminal Traffic,Other,None,None,None,no
45822,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,yes
45823,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,yes
45825,Caucasian,40-49,Misdemeanor,Bail Jumping,None,1-5,None,no
45826,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
45827,African American,30-39,Felony,Other,None,None,None,no
45828,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45829,Caucasian,40-49,Misdemeanor,Bail Jumping,None,1-5,None,no
45830,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,6-10,no
45831,African American,30-39,Misdemeanor,Battery,None,1-5,None,yes
45833,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,yes
45835,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
45836,African American,18-29,Misdemeanor,Other,None,None,None,yes
45838,Caucasian,18-29,Misdemeanor,Battery,None,1-5,1-5,yes
45839,African American,30-39,Felony,Other,None,None,1-5,yes
45840,Other,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
45841,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45842,Other,18-29,Felony,Other,1-5,1-5,None,yes
45843,Other,40-49,Felony,Other,None,None,None,no
45844,Other,18-29,Felony,Other,None,None,None,yes
45845,African American,18-29,Misdemeanor,Bail Jumping,1-5,1-5,None,yes
45847,African American,18-29,Felony,Other,1-5,1-5,1-5,no
45848,African American,18-29,Felony,Other,1-5,None,None,no
45849,Other,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45850,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45851,African American,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
45852,Caucasian,18-29,Felony,Bail Jumping,None,None,None,no
45853,Caucasian,50-59,Misdemeanor,Other,None,1-5,1-5,no
45854,African American,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
45855,African American,30-39,Misdemeanor,Battery,1-5,6-10,6-10,yes
45856,Other,18-29,Misdemeanor,Battery,1-5,None,None,no
45857,Other,30-39,Felony,Other,None,None,None,no
45859,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
45861,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
45862,Caucasian,30-39,Misdemeanor,Bail Jumping,None,None,1-5,no
45863,African American,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
45865,Caucasian,50-59,Felony,Other,6-10,6-10,None,yes
45866,African American,30-39,Felony,Bail Jumping,1-5,None,None,no
45867,Other,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
45868,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45869,Caucasian,40-49,Misdemeanor,Other,6-10,1-5,6-10,no
45870,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,no
45871,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
45872,Other,18-29,Criminal Traffic,Other,None,1-5,None,no
45873,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
45874,Caucasian,30-39,Felony,Other,None,None,1-5,no
45878,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,yes
45879,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45880,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
45881,Caucasian,18-29,Misdemeanor,Other,None,6-10,1-5,yes
45882,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,6-10,yes
45883,Other,18-29,Misdemeanor,Bail Jumping,1-5,None,None,yes
45884,Caucasian,40-49,Misdemeanor,Other,1-5,None,1-5,no
45885,African American,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45886,African American,30-39,Felony,Other,None,None,None,no
45888,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
45889,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
